--- 🚛 POPRAWIONA Analiza Skrzyń Biegów ETS2 ---
Obroty silnika do porównania (RPM): 2000
Założony obwód koła: 3.09 metra.
Pamiętaj: Teoretyczna prędkość może się nieznacznie różnić od rzeczywistej w grze ze względu na opory powietrza, tarcie i małe różnice w modelach kół.

## 📊 Wyniki Analizy Skrzyń Biegów (od najszybszej do najwolniejszej):
Nazwa Skrzyni (Plik / Model)                       | Model Ciężarówki          | Dyfer      | Bieg Max   | Prędkość (km/h) | Zmierzona V (km/h)
allison4700.sii (allison4700)                      | kenworth.t680             | 3.55       | 0.64       | 163.20          |                   
allison4700_retarder.sii (allison4700r)            | kenworth.t680             | 3.55       | 0.64       | 163.20          |                   
allison4700.sii (allison4700)                      | kenworth.w900             | 3.55       | 0.64       | 163.20          |                   
allison4700_retarder.sii (allison4700r)            | kenworth.w900             | 3.55       | 0.64       | 163.20          |                   
allison4700.sii (allison4700)                      | mack.anthem               | 3.55       | 0.64       | 163.20          |                   
allison4700_retarder.sii (allison4700r)            | mack.anthem               | 3.55       | 0.64       | 163.20          |                   
allison4700.sii (allison4700)                      | mack.pinnacle             | 3.55       | 0.64       | 163.20          |                   
allison4700_retarder.sii (allison4700r)            | mack.pinnacle             | 3.55       | 0.64       | 163.20          |                   
allison4700.sii (allison4700)                      | peterbilt.389             | 3.55       | 0.64       | 163.20          |                   
allison4700_retarder.sii (allison4700r)            | peterbilt.389             | 3.55       | 0.64       | 163.20          |                   
allison4700.sii (allison4700)                      | peterbilt.579             | 3.55       | 0.64       | 163.20          |                   
allison4700_retarder.sii (allison4700r)            | peterbilt.579             | 3.55       | 0.64       | 163.20          |                   
allison4700.sii (allison4700)                      | westernstar.49x           | 3.55       | 0.64       | 163.20          |                   
allison4700_retarder.sii (allison4700r)            | westernstar.49x           | 3.55       | 0.64       | 163.20          |                   
dt12_da.sii (dt12_da)                              | freightliner.cascadia2019 | 2.28       | 1.00       | 162.63          |                   
dt12_he.sii (dt12_he)                              | freightliner.cascadia2024 | 2.28       | 1.00       | 162.63          |                   
dt12_da.sii (dt12_da)                              | westernstar.5700xe        | 2.28       | 1.00       | 162.63          |                   
dt12_da.sii (dt12_dh)                              | westernstar.57x           | 2.28       | 1.00       | 162.63          |                   
allison.sii (allison)                              | freightliner.cascadia2019 | 3.42       | 0.67       | 161.82          |                   
allison_retarder.sii (allison_r)                   | freightliner.cascadia2019 | 3.42       | 0.67       | 161.82          |                   
allison.sii (allison)                              | freightliner.cascadia2024 | 3.42       | 0.67       | 161.82          |                   
allison_retarder.sii (allison_r)                   | freightliner.cascadia2024 | 3.42       | 0.67       | 161.82          |                   
allison.sii (allison)                              | intnational.lonestar      | 3.42       | 0.67       | 161.82          |                   
allison_retarder.sii (allison_r)                   | intnational.lonestar      | 3.42       | 0.67       | 161.82          |                   
allison.sii (allison)                              | kenworth.t680             | 3.42       | 0.67       | 161.82          |                   
allison_retarder.sii (allison_r)                   | kenworth.t680             | 3.42       | 0.67       | 161.82          |                   
allison.sii (allison)                              | kenworth.t680_2022        | 3.42       | 0.67       | 161.82          |                   
allison_retarder.sii (allison_r)                   | kenworth.t680_2022        | 3.42       | 0.67       | 161.82          |                   
allison.sii (allison)                              | kenworth.w900             | 3.42       | 0.67       | 161.82          |                   
allison_retarder.sii (allison_r)                   | kenworth.w900             | 3.42       | 0.67       | 161.82          |                   
allison.sii (allison)                              | mack.anthem               | 3.42       | 0.67       | 161.82          |                   
allison_retarder.sii (allison_r)                   | mack.anthem               | 3.42       | 0.67       | 161.82          |                   
allison.sii (allison)                              | mack.pinnacle             | 3.42       | 0.67       | 161.82          |                   
allison_retarder.sii (allison_r)                   | mack.pinnacle             | 3.42       | 0.67       | 161.82          |                   
allison.sii (allison)                              | peterbilt.389             | 3.42       | 0.67       | 161.82          |                   
allison_retarder.sii (allison_r)                   | peterbilt.389             | 3.42       | 0.67       | 161.82          |                   
allison.sii (allison)                              | peterbilt.579             | 3.42       | 0.67       | 161.82          |                   
allison_retarder.sii (allison_r)                   | peterbilt.579             | 3.42       | 0.67       | 161.82          |                   
allison.sii (allison)                              | volvo.vnl2018             | 3.42       | 0.67       | 161.82          |                   
allison_retarder.sii (allison_r)                   | volvo.vnl2018             | 3.42       | 0.67       | 161.82          |                   
allison.sii (allison)                              | westernstar.49x           | 3.42       | 0.67       | 161.82          |                   
allison_retarder.sii (allison_r)                   | westernstar.49x           | 3.42       | 0.67       | 161.82          |                   
18_speed.sii (18_speed)                            | freightliner.cascadia2019 | 3.25       | 0.73       | 156.29          |                   
18_speed_retarder.sii (18_speed_r)                 | freightliner.cascadia2019 | 3.25       | 0.73       | 156.29          |                   
18_speed.sii (18_speed)                            | freightliner.cascadia2024 | 3.25       | 0.73       | 156.29          |                   
18_speed.sii (18_speed)                            | intnational.9900i         | 3.25       | 0.73       | 156.29          |                   
18_speed_retarder.sii (18_speed_r)                 | intnational.9900i         | 3.25       | 0.73       | 156.29          |                   
18_speed.sii (18_speed)                            | intnational.lonestar      | 3.25       | 0.73       | 156.29          |                   
18_speed_retarder.sii (18_speed_r)                 | intnational.lonestar      | 3.25       | 0.73       | 156.29          |                   
18_speed.sii (18_speed)                            | intnational.lt            | 3.25       | 0.73       | 156.29          |                   
18_speed_retarder.sii (18_speed_r)                 | intnational.lt            | 3.25       | 0.73       | 156.29          |                   
18_speed.sii (18_speed)                            | kenworth.t680             | 3.25       | 0.73       | 156.29          |                   
18_speed_retarder.sii (18_speed_r)                 | kenworth.t680             | 3.25       | 0.73       | 156.29          |                   
18_speed.sii (18_speed)                            | kenworth.w900             | 3.25       | 0.73       | 156.29          |                   
18_speed_retarder.sii (18_speed_r)                 | kenworth.w900             | 3.25       | 0.73       | 156.29          |                   
18_speed.sii (18_speed)                            | mack.anthem               | 3.25       | 0.73       | 156.29          |                   
18_speed_retarder.sii (18_speed_r)                 | mack.anthem               | 3.25       | 0.73       | 156.29          |                   
18_speed.sii (18_speed)                            | mack.pinnacle             | 3.25       | 0.73       | 156.29          |                   
18_speed_retarder.sii (18_speed_r)                 | mack.pinnacle             | 3.25       | 0.73       | 156.29          |                   
18_speed.sii (18_speed)                            | peterbilt.389             | 3.25       | 0.73       | 156.29          |                   
18_speed_retarder.sii (18_speed_r)                 | peterbilt.389             | 3.25       | 0.73       | 156.29          |                   
18_speed.sii (18_speed)                            | peterbilt.579             | 3.25       | 0.73       | 156.29          |                   
18_speed_retarder.sii (18_speed_r)                 | peterbilt.579             | 3.25       | 0.73       | 156.29          |                   
18_speed.sii (18_speed)                            | volvo.vnl                 | 3.25       | 0.73       | 156.29          |                   
18_speed_retarder.sii (18_speed_r)                 | volvo.vnl                 | 3.25       | 0.73       | 156.29          |                   
18_speed.sii (18_speed)                            | volvo.vnl2018             | 3.25       | 0.73       | 156.29          |                   
18_speed_retarder.sii (18_speed_r)                 | volvo.vnl2018             | 3.25       | 0.73       | 156.29          |                   
18_speed.sii (18_speed)                            | westernstar.49x           | 3.25       | 0.73       | 156.29          |                   
18_speed_retarder.sii (18_speed_r)                 | westernstar.49x           | 3.25       | 0.73       | 156.29          |                   
18_speed.sii (18_speed)                            | westernstar.5700xe        | 3.25       | 0.73       | 156.29          |                   
18_speed_retarder.sii (18_speed_r)                 | westernstar.5700xe        | 3.25       | 0.73       | 156.29          |                   
dt12_ohe.sii (dt12_ohe)                            | freightliner.cascadia2024 | 3.08       | 0.78       | 154.35          |                   
dt12_oc.sii (dt12_oc)                              | westernstar.49x           | 3.08       | 0.78       | 154.35          |                   
dt12_ob_ohl.sii (dt12_ohl)                         | westernstar.57x           | 3.08       | 0.78       | 154.35          |                   
dt12_dc_dhe.sii (dt12_dhe)                         | westernstar.57x           | 2.41       | 1.00       | 153.86          |                   
ishift_ato2612g.sii (ato2612g)                     | volvo.vnl2018             | 3.08       | 0.79       | 152.39          |                   
ishift_at2612g.sii (at2612g)                       | volvo.vnl2025             | 2.47       | 1.00       | 150.12          |                   
allison.sii (allison)                              | volvo.vnl                 | 3.70       | 0.67       | 149.58          |                   
allison_retarder.sii (allison_r)                   | volvo.vnl                 | 3.70       | 0.67       | 149.58          |                   
18_speed.sii (18_speed)                            | kenworth.t680_2022        | 3.42       | 0.73       | 148.52          |                   
mdrive_ato2612f.sii (ato2612f)                     | mack.anthem               | 3.25       | 0.78       | 146.27          |                   
mdrive_ato2612f_retarder.sii (ato2612f_r)          | mack.anthem               | 3.25       | 0.78       | 146.27          |                   
mdrive_ato2612f.sii (ato2612f)                     | mack.pinnacle             | 3.25       | 0.78       | 146.27          |                   
mdrive_ato2612f_retarder.sii (ato2612f_r)          | mack.pinnacle             | 3.25       | 0.78       | 146.27          |                   
ishift_ato3112d.sii (ato3112d)                     | volvo.vnl                 | 3.25       | 0.78       | 146.27          |                   
ishift_ato3112d_retarder.sii (ato3112d_r)          | volvo.vnl                 | 3.25       | 0.78       | 146.27          |                   
13_speed.sii (13_speed)                            | freightliner.cascadia2019 | 3.55       | 0.73       | 143.08          |                   
13_speed_retarder.sii (13_speed_r)                 | freightliner.cascadia2019 | 3.55       | 0.73       | 143.08          |                   
13_speed.sii (13_speed)                            | intnational.9900i         | 3.55       | 0.73       | 143.08          |                   
13_speed_retarder.sii (13_speed_r)                 | intnational.9900i         | 3.55       | 0.73       | 143.08          |                   
13_speed.sii (13_speed)                            | intnational.lonestar      | 3.55       | 0.73       | 143.08          |                   
13_speed_retarder.sii (13_speed_r)                 | intnational.lonestar      | 3.55       | 0.73       | 143.08          |                   
13_speed.sii (13_speed)                            | intnational.lt            | 3.55       | 0.73       | 143.08          |                   
13_speed_retarder.sii (13_speed_r)                 | intnational.lt            | 3.55       | 0.73       | 143.08          |                   
eaton_fao16810c.sii (fao16810c)                    | intnational.lt            | 3.55       | 0.73       | 143.08          |                   
13_speed.sii (13_speed)                            | kenworth.t680             | 3.55       | 0.73       | 143.08          |                   
13_speed_retarder.sii (13_speed_r)                 | kenworth.t680             | 3.55       | 0.73       | 143.08          |                   
13_speed.sii (13_speed)                            | kenworth.w900             | 3.55       | 0.73       | 143.08          |                   
13_speed_retarder.sii (13_speed_r)                 | kenworth.w900             | 3.55       | 0.73       | 143.08          |                   
13_speed.sii (13_speed)                            | mack.anthem               | 3.55       | 0.73       | 143.08          |                   
13_speed_retarder.sii (13_speed_r)                 | mack.anthem               | 3.55       | 0.73       | 143.08          |                   
13_speed.sii (13_speed)                            | mack.pinnacle             | 3.55       | 0.73       | 143.08          |                   
13_speed_retarder.sii (13_speed_r)                 | mack.pinnacle             | 3.55       | 0.73       | 143.08          |                   
13_speed.sii (13_speed)                            | peterbilt.389             | 3.55       | 0.73       | 143.08          |                   
13_speed_retarder.sii (13_speed_r)                 | peterbilt.389             | 3.55       | 0.73       | 143.08          |                   
13_speed.sii (13_speed)                            | peterbilt.579             | 3.55       | 0.73       | 143.08          |                   
13_speed_retarder.sii (13_speed_r)                 | peterbilt.579             | 3.55       | 0.73       | 143.08          |                   
13_speed.sii (13_speed)                            | volvo.vnl                 | 3.55       | 0.73       | 143.08          |                   
13_speed_retarder.sii (13_speed_r)                 | volvo.vnl                 | 3.55       | 0.73       | 143.08          |                   
13_speed.sii (13_speed)                            | volvo.vnl2018             | 3.55       | 0.73       | 143.08          |                   
13_speed_retarder.sii (13_speed_r)                 | volvo.vnl2018             | 3.55       | 0.73       | 143.08          |                   
13_speed.sii (13_speed)                            | westernstar.49x           | 3.55       | 0.73       | 143.08          |                   
13_speed_retarder.sii (13_speed_r)                 | westernstar.49x           | 3.55       | 0.73       | 143.08          |                   
13_speed.sii (13_speed)                            | westernstar.5700xe        | 3.55       | 0.73       | 143.08          |                   
13_speed_retarder.sii (13_speed_r)                 | westernstar.5700xe        | 3.55       | 0.73       | 143.08          |                   
10_speed.sii (10_speed)                            | kenworth.t680_2022        | 2.64       | 1.00       | 140.45          |                   
eaton_eeo18f112c.sii (eeo18f112c)                  | freightliner.cascadia2019 | 3.45       | 0.77       | 139.58          |                   
eaton_eeo18f112c.sii (eeo18f112c)                  | intnational.lonestar      | 3.45       | 0.77       | 139.58          |                   
eaton_eeo18f112c.sii (eeo18f112c)                  | intnational.lt            | 3.45       | 0.77       | 139.58          |                   
dt12_od.sii (dt12_od)                              | westernstar.49x           | 3.42       | 0.78       | 139.00          |                   
dt12_dc_dhe.sii (dt12_dhe)                         | westernstar.49x           | 2.67       | 1.00       | 138.88          |                   
dt12_db_dhl.sii (dt12_dhl)                         | westernstar.57x           | 2.67       | 1.00       | 138.88          |                   
mdrive_at2612f.sii (at2612f)                       | mack.anthem               | 2.79       | 1.00       | 132.90          |                   
mdrive_at2612f_retarder.sii (at2612f_r)            | mack.anthem               | 2.79       | 1.00       | 132.90          |                   
mdrive_at2612f.sii (at2612f)                       | mack.pinnacle             | 2.79       | 1.00       | 132.90          |                   
mdrive_at2612f_retarder.sii (at2612f_r)            | mack.pinnacle             | 2.79       | 1.00       | 132.90          |                   
ishift_at2812d.sii (at2812d)                       | volvo.vnl                 | 2.79       | 1.00       | 132.90          |                   
ishift_at2812d_retarder.sii (at2812d_r)            | volvo.vnl                 | 2.79       | 1.00       | 132.90          |                   
ishift_at2612g.sii (at2612g)                       | volvo.vnl2018             | 2.79       | 1.00       | 132.90          |                   
10_speed.sii (10_speed)                            | freightliner.cascadia2019 | 2.85       | 1.00       | 130.11          |                   
10_speed_retarder.sii (10_speed_r)                 | freightliner.cascadia2019 | 2.85       | 1.00       | 130.11          |                   
10_speed.sii (10_speed)                            | intnational.9900i         | 2.85       | 1.00       | 130.11          |                   
10_speed_retarder.sii (10_speed_r)                 | intnational.9900i         | 2.85       | 1.00       | 130.11          |                   
10_speed.sii (10_speed)                            | intnational.lonestar      | 2.85       | 1.00       | 130.11          |                   
10_speed_retarder.sii (10_speed_r)                 | intnational.lonestar      | 2.85       | 1.00       | 130.11          |                   
eaton_ee17f111b.sii (ee17f111b)                    | intnational.lt            | 2.85       | 1.00       | 130.11          |                   
eaton_fam15810b.sii (fam15810b)                    | intnational.lt            | 2.85       | 1.00       | 130.11          |                   
10_speed.sii (10_speed)                            | kenworth.t680             | 2.85       | 1.00       | 130.11          |                   
10_speed_retarder.sii (10_speed_r)                 | kenworth.t680             | 2.85       | 1.00       | 130.11          |                   
10_speed.sii (10_speed)                            | kenworth.w900             | 2.85       | 1.00       | 130.11          |                   
10_speed_retarder.sii (10_speed_r)                 | kenworth.w900             | 2.85       | 1.00       | 130.11          |                   
10_speed.sii (10_speed)                            | mack.anthem               | 2.85       | 1.00       | 130.11          |                   
10_speed_retarder.sii (10_speed_r)                 | mack.anthem               | 2.85       | 1.00       | 130.11          |                   
10_speed.sii (10_speed)                            | mack.pinnacle             | 2.85       | 1.00       | 130.11          |                   
10_speed_retarder.sii (10_speed_r)                 | mack.pinnacle             | 2.85       | 1.00       | 130.11          |                   
10_speed.sii (10_speed)                            | peterbilt.389             | 2.85       | 1.00       | 130.11          |                   
10_speed_retarder.sii (10_speed_r)                 | peterbilt.389             | 2.85       | 1.00       | 130.11          |                   
10_speed.sii (10_speed)                            | peterbilt.579             | 2.85       | 1.00       | 130.11          |                   
10_speed_retarder.sii (10_speed_r)                 | peterbilt.579             | 2.85       | 1.00       | 130.11          |                   
10_speed.sii (10_speed)                            | volvo.vnl                 | 2.85       | 1.00       | 130.11          |                   
10_speed_retarder.sii (10_speed_r)                 | volvo.vnl                 | 2.85       | 1.00       | 130.11          |                   
10_speed.sii (10_speed)                            | volvo.vnl2018             | 2.85       | 1.00       | 130.11          |                   
10_speed_retarder.sii (10_speed_r)                 | volvo.vnl2018             | 2.85       | 1.00       | 130.11          |                   
10_speed.sii (10_speed)                            | westernstar.49x           | 2.85       | 1.00       | 130.11          |                   
10_speed_retarder.sii (10_speed_r)                 | westernstar.49x           | 2.85       | 1.00       | 130.11          |                   
10_speed.sii (10_speed)                            | westernstar.5700xe        | 2.85       | 1.00       | 130.11          |                   
10_speed_retarder.sii (10_speed_r)                 | westernstar.5700xe        | 2.85       | 1.00       | 130.11          |                   
dt12_dc.sii (dt12_dc)                              | westernstar.49x           | 3.08       | 1.00       | 120.39          |                   
electric.sii (e2)                                  | volvo.vnr_e               | 4.56       | 3.52       | 23.10           |                   

--- Zwycięzca (Najniższy Współczynnik Prędkości) ---
Największą prędkość teoretyczną (przy 2000 RPM) osiągnie skrzynia:
* Nazwa: ishift_ato2612g_aso.sii (ato2612g_au)
* Model Ciężarówki: volvo.vnl2025
* Obliczona Prędkość: 192.46 km/h
* Współczynnik Prędkości (Diff Ratio / Max Ratio): 1.9266
